rowname,LMK Key,Local authority code,Property Type,Transaction Type,Tenure,Walls Description,Roof Description,Walls Energy Efficiency,Roof Energy Efficiency,Main Heat Description,Main Heat Energy Efficiency,Main Heat Environmental Efficiency,Main Fuel,Solar Water Heating,Construction Age Band,Current Energy Rating,Potential Energy Rating,CO2 Emissions Current,CO2 Emissions Potential,CO2 EMissions Current per floor area,Number of Habitable Rooms,Number of Heated Rooms,Photovoltaic Supply,Total Floor Area,Building Refernce number,Built Form,LSOA Code,MSOA Code,Latitude,Longitude,Index of Multiple Deprivation,Number of Properties (LSOA),Owned (LSOA),Social Rented (LSOA),Private Rented (LSOA),Date,Year,Month,IMD Decile,Nominal Construction Date,Local Authority,geo_point_2d
360,1475663974612016083117291699260845,E06000022,Park home,marketed sale,Owner occupied,"Park home wall, as built","Pitched, insulated (assumed)",Good,Good,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 2007 onwards,D,D,2.6,2.4,43,3,3,,62,8568496478,Detached,E01014397,E02002987,51.40807,-2.491251,32768,525,497,5,21,2016-08-31,2016,8,10,2007,Bath and North East Somerset,"51.40807, -2.491251"
1196,1372772870532015100917430077078696,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, with external insulation","Flat, no insulation (assumed)",Very Poor,Very Poor,Electric storage heaters,Average,Very Poor,electricity (not community),N,England and Wales: 1976-1982,F,E,7.8,5.4,171,3,3,,46,7617669378,Detached,E01014380,E02002996,51.37322,-2.332043,32636,607,514,23,63,2015-10-09,2015,10,10,1979,Bath and North East Somerset,"51.37322, -2.332043"
1197,ed588f867027c5906b26d0e320dcd8a4c0a1e765e67d13683f9664a3492a3c85,E06000022,Park home,marketed sale,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,Electric storage heaters,Poor,Very Poor,electricity (not community),N,England and Wales: 1976-1982,G,F,8.5,5.8,147,3,3,0,58,10005144576,Detached,E01014380,E02002996,51.37322,-2.332043,32636,607,514,23,63,2023-10-12,2023,10,10,1979,Bath and North East Somerset,"51.37322, -2.332043"
1201,e08ce9c4765cb1f3e623aad16bacfc224c95a4ea4c7364efb9eabe9a536fc693,E06000022,Park home,rental,Owner occupied,"Park home wall, with internal insulation","Pitched, 100 mm loft insulation",Poor,Average,No system present: electric heaters assumed,Very Poor,Poor,To be used only when there is no heating/hot-water system or data is from a community network,N,England and Wales: 1983-1990,F,D,5.2,4.5,107,3,0,0,49,10002734295,Detached,E01014380,E02002996,51.37318,-2.332817,32636,607,514,23,63,2022-06-16,2022,6,10,1986,Bath and North East Somerset,"51.37318, -2.332817"
1202,1495086689632016110816212355078290,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, with external insulation","Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, oil",Average,Average,oil (not community),N,England and Wales: 1976-1982,F,E,8.2,5.9,108,4,4,,76,8025238478,Detached,E01014380,E02002996,51.37318,-2.332817,32636,607,514,23,63,2016-11-08,2016,11,10,1979,Bath and North East Somerset,"51.37318, -2.332817"
362,1503001768812016120713234998069542,E06000022,Park home,ECO assessment,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1976-1982,E,D,3.1,2.1,83,3,3,,37,5274888478,Detached,E01014397,E02002987,51.40807,-2.491251,32768,525,497,5,21,2016-12-07,2016,12,10,1979,Bath and North East Somerset,"51.40807, -2.491251"
363,1421652049112016030820110090060847,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1976-1982,E,D,3.2,2.3,73,4,4,,44,8709903478,Detached,E01014397,E02002987,51.40807,-2.491251,32768,525,497,5,21,2016-03-08,2016,3,10,1979,Bath and North East Somerset,"51.40807, -2.491251"
364,1410796046352016020812584293060742,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 2007 onwards,D,D,3.0,2.8,38,3,3,,81,7202632478,Detached,E01014397,E02002987,51.40807,-2.491251,32768,525,497,5,21,2016-02-08,2016,2,10,2007,Bath and North East Somerset,"51.40807, -2.491251"
1195,1342727893532015071317431799978002,E06000022,Park home,following green deal,Owner occupied,"Park home wall, with external insulation","Pitched, no insulation (assumed)",Very Poor,Very Poor,Electric storage heaters,Average,Very Poor,electricity (not community),N,England and Wales: 1976-1982,F,E,7.7,5.2,204,4,4,,38,9259057378,Detached,E01014380,E02002996,51.37322,-2.332043,32636,607,514,23,63,2015-07-13,2015,7,10,1979,Bath and North East Somerset,"51.37322, -2.332043"
361,1417247221312016022518455698260746,E06000022,Park home,assessment for green deal,Owner occupied,"Park home wall, as built","Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,mains gas (not community),N,England and Wales: 1976-1982,F,D,4.6,2.0,124,3,3,,37,7629182478,Detached,E01014397,E02002987,51.40807,-2.491251,32768,525,497,5,21,2016-02-25,2016,2,10,1979,Bath and North East Somerset,"51.40807, -2.491251"
